dataset,repeat,fold,split,seed,train_size,test_size,test_acc,test_bacc,test_macro_f1,n_rules,enh_depth,enh_total_nodes,enh_time,fold_total_time
spambase,1,1,1,2026,3680,921,0.908794788,0.896331349,0.902784619,60,15,120,3.034526043,3.429799941
spambase,1,2,2,2027,3681,920,0.92826087,0.919998416,0.924075704,60,18,155,3.05896289,3.543639449
spambase,1,3,3,2028,3681,920,0.90326087,0.886774986,0.895876649,60,13,13,1.45909393,1.599455544
spambase,1,4,4,2029,3681,920,0.876086957,0.860725749,0.867516207,60,0,0,0.103198374,0.202164207
spambase,1,5,5,2030,3681,920,0.888043478,0.872039309,0.87994106,60,9,9,1.458204587,1.581022497
spambase,2,1,6,2031,3680,921,0.906623236,0.892613821,0.900120552,55,20,77,2.006272276,2.300354779
spambase,2,2,7,2032,3681,920,0.915217391,0.906334779,0.910271287,60,17,102,2.329207104,2.705618219
spambase,2,3,8,2033,3681,920,0.911956522,0.9002505,0.906248939,60,18,119,2.494551459,2.882497549
spambase,2,4,9,2034,3681,920,0.904347826,0.890301744,0.897731809,60,16,16,1.477486072,1.624089608
spambase,2,5,10,2035,3681,920,0.873913043,0.855092462,0.864032942,55,10,10,1.46542043,1.590611219
spambase,3,1,11,2036,3680,921,0.904451683,0.890821707,0.897918262,60,20,77,1.976362688,2.28422635
spambase,3,2,12,2037,3681,920,0.919565217,0.912829957,0.915232289,60,19,156,2.901888616,3.377332712
spambase,3,3,13,2038,3681,920,0.876086957,0.861462603,0.867671996,60,8,8,0.827553193,0.951934108
spambase,3,4,14,2039,3681,920,0.925,0.91503331,0.920407142,60,18,69,1.979236481,2.264403257
spambase,3,5,15,2040,3681,920,0.901086957,0.886649257,0.894182703,60,19,73,2.078808724,2.37954338
spambase,4,1,16,2041,3680,921,0.91422367,0.901292989,0.908412081,60,19,73,2.00683916,2.302092904
spambase,4,2,17,2042,3681,920,0.919565217,0.910889325,0.914872759,60,19,156,2.956228309,3.427988798
spambase,4,3,18,2043,3681,920,0.909782609,0.896517753,0.903599369,60,16,129,3.084741124,3.516236315
spambase,4,4,19,2044,3681,920,0.911956522,0.898504384,0.905922276,60,18,119,2.497431222,2.892542703
spambase,4,5,20,2045,3681,920,0.917391304,0.91114837,0.913119545,60,18,119,2.531602395,2.923826443
spambase,5,1,21,2046,3680,921,0.912052117,0.904795758,0.907325302,55,19,156,2.824504254,3.267939482
spambase,5,2,22,2047,3681,920,0.922826087,0.916488445,0.918710822,60,16,129,3.023841447,3.438100305
spambase,5,3,23,2048,3681,920,0.872826087,0.851497059,0.86187941,60,6,6,1.456589812,1.574719315
spambase,5,4,24,2049,3681,920,0.917391304,0.902992715,0.911466326,60,18,119,2.524487993,2.916359778
spambase,5,5,25,2050,3681,920,0.902173913,0.886587435,0.895030426,60,10,10,1.047905978,1.174776994
ORL,1,1,1,2026,320,80,0.9,0.9,0.895,60,16,16,0.37897303,0.440271568
ORL,1,2,2,2027,320,80,0.9,0.9,0.885833333,60,15,15,0.372404136,0.429364942
ORL,1,3,3,2028,320,80,0.9125,0.9125,0.901666667,60,5,30,0.187178696,0.259057164
ORL,1,4,4,2029,320,80,0.9125,0.9125,0.905,60,4,31,0.269514759,0.342883748
ORL,1,5,5,2030,320,80,0.8625,0.8625,0.841666667,55,15,15,0.391926712,0.4480474
ORL,2,1,6,2031,320,80,0.9375,0.9375,0.9275,60,5,40,0.222038478,0.302168143
ORL,2,2,7,2032,320,80,0.9,0.9,0.878333333,60,9,66,0.296663115,0.402310689
ORL,2,3,8,2033,320,80,0.875,0.875,0.864166667,60,4,29,0.217781811,0.288856205
ORL,2,4,9,2034,320,80,0.925,0.925,0.909285714,60,4,33,0.191183043,0.266674445
ORL,2,5,10,2035,320,80,0.9625,0.9625,0.96,60,6,47,0.216900513,0.304775862
ORL,3,1,11,2036,320,80,0.925,0.925,0.921666667,60,5,34,0.294821959,0.372823368
ORL,3,2,12,2037,320,80,0.925,0.925,0.9225,60,5,42,0.255695516,0.340042863
ORL,3,3,13,2038,320,80,0.95,0.95,0.946666667,60,5,43,0.328553941,0.414450265
ORL,3,4,14,2039,320,80,0.9375,0.9375,0.926666667,60,6,53,0.368345159,0.460404305
ORL,3,5,15,2040,320,80,0.95,0.95,0.9475,60,9,66,0.32742718,0.436042055
ORL,4,1,16,2041,320,80,0.825,0.825,0.7925,60,8,8,0.211346073,0.28959314
ORL,4,2,17,2042,320,80,0.9125,0.9125,0.894166667,60,14,14,0.37970706,0.435153817
ORL,4,3,18,2043,320,80,0.875,0.875,0.873809524,60,5,42,0.275497821,0.35894518
ORL,4,4,19,2044,320,80,0.9,0.9,0.893333333,60,15,15,0.375495736,0.436563232
ORL,4,5,20,2045,320,80,0.9375,0.9375,0.936666667,60,8,69,0.476280421,0.584568493
ORL,5,1,21,2046,320,80,0.9125,0.9125,0.9025,60,6,47,0.29285264,0.383839991
ORL,5,2,22,2047,320,80,0.9125,0.9125,0.901666667,60,17,17,0.374288794,0.439912602
ORL,5,3,23,2048,320,80,0.9125,0.9125,0.913333333,60,4,31,0.216882312,0.288978613
ORL,5,4,24,2049,320,80,0.9125,0.9125,0.903452381,60,15,15,0.377151622,0.434312824
ORL,5,5,25,2050,320,80,0.875,0.875,0.8725,55,17,17,0.367136547,0.424321126
semg,1,1,1,2026,720,180,0.894444444,0.888888889,0.889787632,60,13,13,0.478683661,0.565513009
semg,1,2,2,2027,720,180,0.905555556,0.905092593,0.902270767,60,20,165,1.140440403,1.385893494
semg,1,3,3,2028,720,180,0.811111111,0.810185185,0.805714286,60,7,7,0.261225414,0.33907508
